Timestamp,Value
2025-03-13T01:26:26.089162,91.0839
2025-03-13T01:26:26.821168,91.0839
2025-03-13T01:26:27.500168,91.0837
2025-03-13T01:26:28.171474,91.0839
2025-03-13T01:26:28.808837,91.0839
2025-03-13T01:26:29.452806,91.0846
2025-03-13T01:26:30.118718,91.0847
2025-03-13T01:26:30.689254,91.0847
2025-03-13T01:26:31.339528,91.0847
2025-03-13T01:26:31.940792,91.0847
2025-03-13T01:26:32.540179,91.0842
2025-03-13T01:26:33.191534,91.0842
2025-03-13T01:26:33.832811,91.0842
2025-03-13T01:26:34.471404,91.0840
2025-03-13T01:26:35.141490,91.0847
2025-03-13T01:26:35.740209,91.0850
2025-03-13T01:26:36.296274,91.0845
2025-03-13T01:26:37.041637,91.0846
2025-03-13T01:26:37.665462,91.0839
2025-03-13T01:26:38.398839,91.0845
2025-03-13T01:26:38.987613,91.0842
2025-03-13T01:26:39.603878,91.0842
2025-03-13T01:26:40.805575,91.0838
2025-03-13T01:26:41.510200,91.0838
2025-03-13T01:26:42.123245,91.0838
2025-03-13T01:26:42.737091,91.0838
2025-03-13T01:26:43.313306,91.0838
2025-03-13T01:26:43.868124,91.0838
2025-03-13T01:26:44.494006,91.0838
2025-03-13T01:26:45.067013,91.0838
2025-03-13T01:26:45.751081,91.0838
2025-03-13T01:26:46.346073,91.0838
2025-03-13T01:26:47.004961,91.0838
2025-03-13T01:26:47.556578,91.0832
2025-03-13T01:26:48.136718,91.0832
2025-03-13T01:26:48.755182,91.0830
2025-03-13T01:26:49.433428,91.0826
2025-03-13T01:26:50.141110,91.0824
2025-03-13T01:26:50.783455,91.0822
2025-03-13T01:26:51.489801,91.0822
2025-03-13T01:26:52.091015,91.0822
2025-03-13T01:26:52.847449,91.0822
2025-03-13T01:26:53.465643,91.0822
2025-03-13T01:26:54.150355,91.0822
2025-03-13T01:26:54.850488,91.0817
2025-03-13T01:26:55.423558,91.0813
2025-03-13T01:26:56.084629,91.0813
2025-03-13T01:26:56.676281,91.0810
2025-03-13T01:26:57.257216,91.0810
2025-03-13T01:26:57.923997,91.0805
2025-03-13T01:26:58.557080,91.0803
2025-03-13T01:26:59.371882,91.0797
2025-03-13T01:27:00.010945,91.0797
2025-03-13T01:27:00.688553,91.0797
2025-03-13T01:27:01.331440,91.0800
2025-03-13T01:27:01.885866,91.0802
2025-03-13T01:27:02.540107,91.0798
2025-03-13T01:27:03.140522,91.0798
2025-03-13T01:27:03.736823,91.0798
2025-03-13T01:27:04.283285,91.0798
2025-03-13T01:27:04.857422,91.0795
2025-03-13T01:27:05.690189,91.0793
2025-03-13T01:27:06.274729,91.0793
2025-03-13T01:27:06.909031,91.0790
2025-03-13T01:27:07.499516,91.0798
2025-03-13T01:27:08.087424,91.0795
2025-03-13T01:27:08.749042,91.0798
2025-03-13T01:27:09.327369,91.0797
2025-03-13T01:27:09.907056,91.0793
2025-03-13T01:27:10.506833,91.0796
2025-03-13T01:27:11.176302,91.0797
2025-03-13T01:27:11.741810,91.0791
2025-03-13T01:27:12.323532,91.0790
2025-03-13T01:27:12.991399,91.0793
2025-03-13T01:27:13.590720,91.0794
2025-03-13T01:27:14.189818,91.0794
2025-03-13T01:27:14.817585,91.0798
2025-03-13T01:27:15.372082,91.0798
2025-03-13T01:27:15.906555,91.0795
2025-03-13T01:27:16.504188,91.0795
2025-03-13T01:27:17.090019,91.0785
2025-03-13T01:27:17.722384,91.0792
2025-03-13T01:27:18.273965,91.0792
2025-03-13T01:27:18.831014,91.0789
2025-03-13T01:27:19.420349,91.0787
2025-03-13T01:27:19.972829,91.0790
2025-03-13T01:27:20.625140,91.0799
2025-03-13T01:27:21.171939,91.0802
